;CountryCode;WHOSIS_000001;MH_12;NCD_BMI_MEANC;UHC_AVAILABILITY_SCORE;VIOLENCE_HOMICIDERATE;WHS3_49;NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV;M_Est_tob_curr_std
125;NZL;81.31198;11.1336;28.1;70.83333;1.36784;0.0;9.3;16.5
126;OMN;72.52431;4.7;26.0;70.83333;0.71395;0.0;28.8;7.8
127;PAK;64.18282;9.96;23.7;77.77778;6.45795;56.0;42.0;23.6
128;PAN;78.71516;2.95;26.8;68.75;17.25449;0.0;21.3;6.4
129;PER;79.07546;2.77;26.4;88.88889;8.6253;0.0;20.1;11.5
130;PHL;70.29715;2.71;23.0;91.66667;15.32234;0.0;14.5;25.4
131;PNG;64.48792;3.65;25.7;83.33333;10.81859;0.0;33.6;42.5
132;POL;77.2867;13.1516;27.1;70.83333;0.96157;0.0;18.2;27.2
133;PRK;71.75806;9.47;24.1;61.11111;4.43786;0.0;32.5;19.6
134;PRT;80.88557;8.31;26.3;72.91667;1.21335;0.0;12.4;25.2
135;PRY;75.56395;5.85;26.4;72.22222;10.4874;0.0;22.4;14.5
136;QAT;76.40804;4.85;29.1;45.13889;0.56426;0.0;27.2;12.2
137;ROU;74.82143;9.06;27.3;72.91667;1.55728;0.0;22.0;29.7
138;RUS;71.29893;27.8682;26.6;70.83333;11.48061;0.0;20.1;28.3
139;RWA;67.68883;9.89;22.2;83.33333;4.6666;0.0;17.8;15.9
140;SAU;73.15216;5.95;28.4;62.5;1.90783;0.0;26.0;14.2
141;SDN;67.93808;4.89;;57.63889;6.21446;0.0;36.3;
142;SEN;67.20235;11.8126;22.5;83.33333;8.19544;0.0;54.5;8.3
143;SGP;82.80753;7.56;23.8;70.83333;0.41357;0.0;11.9;16.5
144;SLB;64.74374;17.9402;26.1;72.22222;4.28508;;38.0;37.9
145;SLE;56.93931;10.5273;22.7;72.22222;8.21511;0.0;47.8;18.1
146;SLV;73.24693;6.78;27.3;73.61111;87.53632;0.0;9.9;9.5
147;SOM;54.56641;15.026;22.8;68.75;5.63733;0.0;43.5;
148;SRB;75.20887;11.6904;26.5;77.08333;1.56449;0.0;22.0;40.9
149;SSD;61.98944;6.41;;48.61111;14.64944;0.0;34.8;
150;STP;69.60426;2.18;24.4;68.75;6.89083;0.0;45.0;6.2
151;SUR;72.60451;25.9135;26.5;83.33333;7.16625;;20.2;
152;SVK;77.01103;9.8;26.9;53.47222;1.28401;0.0;22.9;31.5
153;SVN;80.47;14.7524;26.9;56.25;0.98873;0.0;20.6;22.7
154;SWE;81.74503;13.0223;26.3;70.83333;1.2392;0.0;12.2;27.9
155;SWZ;54.04612;49.1945;26.0;47.91667;19.42453;0.0;29.8;9.8
156;SYC;73.19635;7.65;26.9;45.83333;13.41943;0.0;23.9;22.1
157;SYR;64.40233;1.95;27.7;53.47222;2.61522;0.0;31.9;
158;TCD;57.9122;13.9687;21.5;83.33333;9.55485;0.0;47.6;9.4
159;TGO;61.9192;16.6917;23.3;83.33333;9.46161;0.0;46.7;8.2
160;THA;77.41125;7.15;24.5;83.33333;5.21566;0.0;22.7;24.1
161;TJK;68.65755;5.19;25.4;83.33333;2.04962;0.0;32.0;
162;TKM;69.11091;6.62;26.1;71.52778;4.08149;0.0;25.4;6.7
163;TLS;68.86667;4.38;21.0;75.0;4.08796;0.0;27.7;42.5
164;TON;72.33002;5.3;31.8;63.19444;3.65516;;27.6;31.6
165;TTO;74.61483;9.54;27.7;54.16667;36.46804;;17.4;
166;TUN;76.69955;3.03;26.3;91.66667;3.29239;0.0;30.8;26.6
167;TUR;77.79037;2.26;27.8;77.08333;4.89076;0.0;29.4;31.1
168;TZA;65.3562;8.23;22.9;86.11111;8.46444;0.0;39.7;11.6
169;UGA;64.46594;11.0416;22.3;72.22222;13.18713;0.0;31.5;10.9
170;UKR;72.2022;17.8746;26.8;64.58333;6.89819;2.0;15.5;28.4
171;URY;77.03117;16.6639;27.5;82.63889;8.02657;0.0;13.8;24.3
172;USA;78.55634;12.8624;29.0;77.08333;5.72318;0.0;10.7;25.3
173;UZB;71.44585;9.2;26.3;67.36111;1.86196;0.0;26.3;19.1
174;VCT;72.46788;3.31;27.1;36.80556;26.25397;;16.9;
175;VEN;74.65737;2.37;26.6;59.72222;61.17792;0.0;21.9;
176;VNM;73.16457;7.61;21.7;76.38889;1.79434;0.0;18.0;26.0
177;VUT;64.63885;21.1806;26.0;36.80556;2.49408;;25.2;19.4
178;WSM;70.03727;14.9413;31.8;54.86111;3.31774;;25.1;28.1
179;YEM;67.46812;6.8;23.3;50.69444;8.57998;0.0;61.3;21.8
180;ZAF;62.57465;25.5519;27.0;80.55556;38.04798;0.0;28.9;21.0
181;ZMB;60.49665;17.2602;22.1;80.55556;6.76951;0.0;30.7;15.5
182;ZWE;58.47603;30.7352;23.3;75.0;13.43061;0.0;29.1;13.6
