CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
ISL,82.13903,21.5,13.1691,70.83333,0.68942,0.0,9.6,0,100.0,11.9849547773209,52951.6815110898,2.3,100.0000023,6.3,0.0,1.0
IND,69.31467,3.7,12.9173,86.11111,3.99299,0.0,52.7,0,88.0,100.0,1590.17391842781,43.5,88.13813263,67.223,1.0,0.0
IDN,70.60569,6.5,2.57,91.66667,4.58207,0.0,28.2,0,97.5373687744141,96.142372495414,3322.58168813599,27.7,88.52735296,46.687,1.0,0.0
IRN,76.66063,25.2,5.96,64.58333,3.35424,0.0,23.0,0,99.9599990844727,100.0,4990.93679760475,15.5,96.80698708,26.642,1.0,0.0
IRQ,70.29305,29.8,5.4,83.33333,16.03775,0.0,28.6,0,99.3454284667969,100.0,4416.94304894546,29.7,94.2475933,30.079,1.0,0.0
IRL,81.1396,24.7,8.71,64.58333,0.74817,0.0,11.2,0,100.0,2.71819083411953,62053.9844381587,3.7,97.37212799,37.462,0.0,1.0
ISR,81.93443,25.8,4.45,64.58333,1.83234,0.0,11.9,0,100.0,100.0,36206.5222171621,3.9,100.0000015,7.821,0.0,1.0
ITA,82.20576,19.6,4.83,79.16667,0.77421,0.0,12.5,0,100.0,96.7545739375126,30242.3861352184,3.5,99.91703407,30.435,0.0,1.0
JAM,75.85057,24.1,2.17,61.80556,48.01908,,19.4,0,94.9000015258789,100.0,5077.55062188355,15.5,90.41679629,45.167,0.0,0.0
JPN,83.61682,4.1,14.8941,62.5,0.26865,0.0,19.2,0,100.0,88.6686504162249,34960.6393843385,2.7,98.92280548,8.619,0.0,1.0
JOR,77.8223,34.9,1.85,88.88889,2.8294,0.0,33.2,0,99.8981704711914,100.0,4064.25301644124,17.5,99.00678491,9.744,1.0,0.0
KAZ,71.90915,20.5,23.4201,85.41667,6.39154,0.0,27.7,0,100.0,92.6415526035327,10510.7718884149,11.9,95.02533441,42.809,0.0,0.0
KEN,64.16978,6.8,10.6368,85.41667,5.99403,0.0,28.1,0,41.5999984741211,100.0,1496.65285612239,48.9,58.19692798,74.342,1.0,0.0
KIR,58.19797,45.3,31.5882,80.55556,5.20837,,32.1,0,90.5581817626953,99.9999995726362,1459.13302105094,57.6,73.84809659,48.381,1.0,0.0
KWT,81.13089,37.4,2.4,36.80556,1.82937,0.0,22.4,0,100.0,100.0,29310.522105363,8.8,100.0,0.0,0.0,0.0
KGZ,71.59398,16.0,10.8742,60.41667,5.82727,0.0,34.8,0,98.6900024414063,99.1089483849592,1121.08283510739,22.3,88.44176125,64.223,1.0,0.0
LAO,67.07706,5.0,6.2,80.55556,6.99092,8.0,37.2,1,89.6999969482422,100.0,2125.45905698314,53.8,77.46057221,66.892,1.0,0.0
LVA,74.79697,23.3,17.1391,56.25,6.08507,0.0,21.2,0,100.0,92.2730865530648,13786.4567953114,5.0,98.52511728,32.02,0.0,0.0
LBN,75.98468,31.4,2.87,70.83333,4.15434,0.0,26.7,0,99.5831756591797,100.0,7802.75136773923,8.3,91.22432251,11.894,0.0,0.0
LSO,47.66742,16.2,114.4881,66.66667,45.34385,0.0,27.5,0,31.6773338317871,100.0,1113.87132770562,94.6,70.5456894,73.092,1.0,0.0
LBR,61.16508,9.6,7.71,63.88889,10.81408,0.0,42.7,0,15.161735534668,100.0,699.662946853965,88.3,72.56979194,50.18,1.0,0.0
LBY,74.60217,31.9,5.48,42.36111,2.42142,0.0,28.9,0,73.4285736083984,100.0,7867.57189285698,13.3,97.28161516,20.73,0.0,0.0
LTU,74.37679,26.0,28.9273,56.25,5.71741,0.0,19.1,0,100.0,99.5312152983186,14263.9645773495,4.9,96.60413858,32.77,0.0,0.0
LUX,82.30824,22.2,9.57,64.58333,0.70243,0.0,9.3,0,100.0,79.9792668255678,105462.012584423,2.8,99.92517066,9.821,0.0,1.0
MKD,73.72823,22.0,7.28,60.41667,1.54447,0.0,17.9,0,100.0,100.0,4861.55397141497,11.4,97.47233283,42.592,1.0,0.0
MDG,64.18649,5.1,9.53,69.44444,7.14403,10.0,37.4,1,23.0059337615967,100.0,455.638039705577,59.0,48.89177354,64.807,1.0,0.0
MWI,63.0444,5.5,12.5862,77.77778,2.65277,0.0,30.4,0,10.8000001907349,100.0,376.246204801105,53.3,66.15495914,83.687,1.0,0.0
MYS,74.95027,14.9,5.22,77.08333,2.81762,0.0,30.7,0,99.7788162231445,93.5081780350891,9699.58402084731,8.1,97.05220256,25.787,0.0,0.0
MDV,78.40925,8.1,2.95,68.75,2.02865,0.0,48.3,0,99.7064743041992,6.87120465177289e-08,9434.3310782449,9.8,98.81424429,61.471,0.0,0.0
MLI,60.88689,8.2,8.46,83.33333,11.36717,0.0,58.3,0,37.5999984741211,100.0,723.504202500133,108.3,74.39951222,60.009,1.0,0.0
MLT,81.64819,28.5,6.55,64.58333,0.87063,0.0,12.6,0,100.0,100.0,24921.5790015791,6.6,100.0,5.586,0.0,0.0
MHL,,52.4,,56.94444,,,29.9,0,92.5262756347656,99.9999988042643,3703.64905889496,35.4,88.34252362,24.189,1.0,0.0
MRT,67.40752,12.3,5.33,75.0,11.6399,0.0,44.2,0,39.5,100.0,1562.72524811646,82.7,66.9733094,48.911,1.0,0.0
MUS,74.13624,10.5,7.51,59.02778,2.34604,0.0,20.7,0,99.3616104125977,100.0,9509.93465545353,14.5,99.86648182,59.0,0.0,0.0
MEX,75.86538,28.3,5.6,91.66667,17.11223,0.0,15.1,0,99.0,99.7152655416406,9753.38004823861,16.2,98.02544354,20.715,0.0,0.0
FSM,62.74269,45.1,28.3721,34.02778,4.64529,,23.5,0,73.9390563964844,99.9999999976395,2891.32210264749,28.9,88.30815668,77.544,1.0,0.0
MDA,71.13158,18.5,13.6824,64.58333,5.48927,0.0,25.9,0,100.0,100.0,2731.06558405856,15.8,88.5760319,57.51,1.0,0.0
MNG,67.61475,19.9,19.6771,88.88889,7.51767,0.0,14.1,0,88.4001770019531,97.9517847849117,3919.35114779589,19.4,80.81301209,31.77,1.0,0.0
MNE,75.27178,22.8,16.3497,77.08333,3.43942,0.0,16.3,0,100.0,100.0,6517.16375162528,4.0,97.39129537,34.194,0.0,0.0
MAR,72.46462,25.4,7.63,85.41667,1.57182,0.0,29.5,0,97.3000030517578,100.0,3139.24365234375,23.5,83.75113288,39.191,1.0,0.0
MOZ,55.94504,6.9,23.966,83.33333,4.06018,0.0,48.3,0,24.0,100.0,594.226533517809,84.0,51.17617521,65.6,1.0,0.0
MMR,67.57671,5.4,3.34,75.0,4.09718,2.0,40.4,1,60.5,100.0,1224.56234328693,52.2,73.5874705,70.142,1.0,0.0
NAM,62.86888,16.7,16.2875,42.36111,19.01236,0.0,24.5,0,51.5999984741211,100.0,4965.68085962392,47.6,82.52413515,53.1,1.0,0.0
NRU,,60.7,,42.36111,,,29.4,0,99.0,,7736.22363607495,33.2,100.0,0.0,0.0,0.0
NPL,69.4259,3.9,9.83,91.66667,2.67159,0.0,35.3,0,82.5239562988281,100.0,882.307448776577,35.5,87.80846759,81.443,1.0,0.0
NLD,81.28043,20.0,9.31,64.58333,0.60856,,11.5,0,100.0,99.8116826887052,45193.4032187971,4.0,99.99999856,9.827,0.0,1.0
NZL,81.31198,30.2,11.1336,70.83333,1.36784,0.0,9.3,0,100.0,0.349574373935346,38630.7265886928,5.5,99.99999735,13.659,0.0,1.0
NIC,74.61766,23.1,4.47,51.38889,10.24336,0.0,13.9,0,83.2493286132813,99.9295179907473,2025.32477597575,19.4,81.35312854,42.105,1.0,0.0
NER,61.53951,5.2,10.3889,75.0,10.36167,0.0,49.3,0,16.6000003814697,100.0,481.111299477459,93.8,45.48245806,83.753,1.0,0.0
NGA,61.15609,8.5,7.31,83.33333,9.9513,1.0,54.9,1,52.5,100.0,2679.55476480921,126.4,68.77975546,52.162,1.0,0.0
NIU,,49.2,,31.25,,,26.4,0,,,,,,,,
PRK,71.75806,6.5,9.47,61.11111,4.43786,0.0,32.5,0,40.6374969482422,100.0,,21.1,95.21488171,38.723,0.0,0.0
NOR,82.00599,22.6,10.5871,64.58333,0.42299,0.0,11.0,0,100.0,2.02465674369929,74355.5158575643,2.7,100.0000012,18.909,0.0,1.0
