CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio
PER,79.07546,19.3,2.77,88.88889,8.6253,0.0,20.1,0
PHL,70.29715,6.2,2.71,91.66667,15.32234,0.0,14.5,0
POL,77.2867,22.7,13.1516,70.83333,0.96157,0.0,18.2,0
PRT,80.88557,20.4,8.31,72.91667,1.21335,0.0,12.4,0
QAT,76.40804,34.5,4.85,45.13889,0.56426,0.0,27.2,0
ROU,74.82143,22.1,9.06,72.91667,1.55728,0.0,22.0,0
RUS,71.29893,22.8,27.8682,70.83333,11.48061,0.0,20.1,0
RWA,67.68883,5.6,9.89,83.33333,4.6666,0.0,17.8,0
KNA,,22.3,,36.80556,,,14.9,0
LCA,75.00793,19.1,7.89,45.13889,18.53768,,13.7,0
VCT,72.46788,23.1,3.31,36.80556,26.25397,,16.9,0
WSM,70.03727,46.7,14.9413,54.86111,3.31774,,25.1,0
STP,69.60426,12.0,2.18,68.75,6.89083,0.0,45.0,0
SAU,73.15216,34.7,5.95,62.5,1.90783,0.0,26.0,0
SEN,67.20235,8.5,11.8126,83.33333,8.19544,0.0,54.5,0
SRB,75.20887,21.1,11.6904,77.08333,1.56449,0.0,22.0,0
SYC,73.19635,13.5,7.65,45.83333,13.41943,0.0,23.9,0
SLE,56.93931,8.3,10.5273,72.22222,8.21511,0.0,47.8,0
SGP,82.80753,6.0,7.56,70.83333,0.41357,0.0,11.9,0
SVK,77.01103,20.1,9.8,53.47222,1.28401,0.0,22.9,0
SVN,80.47,19.8,14.7524,56.25,0.98873,0.0,20.6,0
SLB,64.74374,21.9,17.9402,72.22222,4.28508,,38.0,0
SOM,54.56641,7.9,15.026,68.75,5.63733,0.0,43.5,0
ZAF,62.57465,27.8,25.5519,80.55556,38.04798,0.0,28.9,0
KOR,82.20299,4.5,21.2004,62.5,1.0255,0.0,13.1,0
ESP,82.33084,23.4,5.64,79.16667,0.63806,0.0,12.4,0
LKA,76.26894,4.9,14.6994,77.08333,3.01537,0.0,33.8,0
SDF,,8.6,,,,,,0
SUR,72.60451,25.9,25.9135,83.33333,7.16625,,20.2,0
SWZ,54.04612,16.1,49.1945,47.91667,19.42453,0.0,29.8,0
SWE,81.74503,20.2,13.0223,70.83333,1.2392,0.0,12.2,0
CHE,82.61449,19.1,10.5012,70.83333,0.60304,0.0,10.1,0
SYR,64.40233,27.1,1.95,53.47222,2.61522,0.0,31.9,0
TJK,68.65755,13.7,5.19,83.33333,2.04962,0.0,32.0,0
TZA,65.3562,8.0,8.23,86.11111,8.46444,0.0,39.7,0
THA,77.41125,9.4,7.15,83.33333,5.21566,0.0,22.7,0
TLS,68.86667,3.6,4.38,75.0,4.08796,0.0,27.7,0
TGO,61.9192,8.1,16.6917,83.33333,9.46161,0.0,46.7,0
TON,72.33002,47.5,5.3,63.19444,3.65516,,27.6,0
TTO,74.61483,18.0,9.54,54.16667,36.46804,,17.4,0
TUN,76.69955,26.3,3.03,91.66667,3.29239,0.0,30.8,0
TUR,77.79037,31.5,2.26,77.08333,4.89076,0.0,29.4,0
TKM,69.11091,18.0,6.62,71.52778,4.08149,0.0,25.4,0
TUV,,50.9,,45.13889,,,26.5,0
UGA,64.46594,5.0,11.0416,72.22222,13.18713,0.0,31.5,0
UKR,72.2022,23.7,17.8746,64.58333,6.89819,2.0,15.5,1
ARE,75.31077,31.0,5.25,70.83333,0.82217,0.0,23.7,0
GBR,80.65246,27.2,7.81,64.58333,1.3457,0.0,9.9,0
USA,78.55634,35.6,12.8624,77.08333,5.72318,0.0,10.7,0
URY,77.03117,27.5,16.6639,82.63889,8.02657,0.0,13.8,0
UZB,71.44585,16.0,9.2,67.36111,1.86196,0.0,26.3,0
VUT,64.63885,24.5,21.1806,36.80556,2.49408,,25.2,0
VEN,74.65737,25.2,2.37,59.72222,61.17792,0.0,21.9,0
VNM,73.16457,2.0,7.61,76.38889,1.79434,0.0,18.0,0
YEM,67.46812,16.5,6.8,50.69444,8.57998,0.0,61.3,0
ZMB,60.49665,7.7,17.2602,80.55556,6.76951,0.0,30.7,0
ZWE,58.47603,15.2,30.7352,75.0,13.43061,0.0,29.1,0
MCO,,,,34.02778,,0.0,11.3,0
SMR,,,,25.69444,,0.0,11.4,0
SSD,61.98944,,6.41,48.61111,14.64944,0.0,34.8,0
SDN,67.93808,,4.89,57.63889,6.21446,0.0,36.3,0
