economy,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
BTN,95.5307159423828,100.0,2695.63877250025,33.1,96.22142259,61.322,1,0
BWA,62.1300010681152,100.0,5869.73294292043,49.7,88.44628953,32.845,0,0
CAF,12.727029800415,100.0,351.879753579186,123.3,42.31134542,59.723,1,0
CAN,100.0,0.725554041704435,43596.1355365546,5.4,99.22922139,18.741,0,1
CEB,100.0,98.420371987198,12520.3364891967,5.76900472147588,99.4771681614936,37.8593275417918,0,0
CHE,100.0,72.3111073443463,83806.4476003837,4.3,100.0,26.282,0,1
CHI,100.0,,,,94.15,69.038,0,0
CHL,99.71484375,98.5762989258251,13569.9478008231,7.9,99.50649272,12.64,0,0
CHN,100.0,99.9999551645374,8016.43143498352,10.7,91.76264123,44.5,0,0
CIV,62.5999984741211,100.0,1941.56633627815,90.8,71.0757669,50.556,1,0
CMR,58.5955924987793,100.0,1399.67533119236,88.0,63.97399012,45.422,1,0
COD,16.1482429504395,100.0,482.0645483336,95.9,42.71817997,57.26,1,0
COG,44.4016494750977,100.0,2347.81849884859,52.6,71.14958177,34.457,1,0
COL,98.186897277832,96.3381509958462,6228.4262990412,15.5,96.33586812,20.236,0,0
COM,74.5719833374023,100.0,1322.93669549676,72.3,80.13200008,71.53,1,0
CPV,86.3578414916992,100.0,2891.88448249992,19.5,85.44334237,35.7,1,0
CRI,99.4098052978516,99.9799860248742,11529.9545258398,9.1,99.37868682,23.138,0,0
CSS,95.7360896741344,99.9999798666996,10473.834450072,18.8672686191755,94.4668742056521,49.0437464084527,0,0
CUB,98.6834564208984,99.9999999999811,7683.75789050585,5.7,95.87179647,23.104,0,0
CUW,100.0,,19260.269845345,,99.49775185,10.648,0,0
CYM,100.0,,77298.6280551844,,96.125,0.0,0,1
CYP,100.0,100.0,23487.125,2.9,99.78851757,33.054,0,0
CZE,100.0,99.8282838822608,17829.6983223668,3.2,99.88009269,26.523,0,0
DEU,100.0,95.9525959398708,41103.2564363768,3.9,100.0000024,22.8,0,1
DJI,57.5785636901855,100.0,2409.31190224284,65.8,75.78704503,22.583,1,0
DMA,99.8290176391602,100.0,7724.04241057376,31.1,95.42065606,30.421,0,0
DNK,100.0,75.1874411831808,53254.8563700916,4.1,99.99999785,12.474,0,1
DOM,98.5603637695313,99.9785982241453,6838.93659408348,35.0,96.0993385,21.434,0,0
DZA,99.1866607666016,100.0,4197.42136055142,25.2,93.40956153,29.152,1,0
EAP,96.7908417635542,99.3825013334915,6501.86882881589,17.8761919671512,90.8924799615093,47.2938455657088,0,0
EAR,85.6762436604588,99.5948977547447,3199.51964624213,40.446948539984,88.1143528508715,56.1199687767955,1,0
EAS,97.1034673810136,97.8247900121743,9586.90102723108,17.0,91.706900228077,43.561361874437,0,0
ECA,98.2757972229206,96.6343689123385,7458.33504588883,13.9459720540876,95.4280973221545,32.8902601799367,0,0
ECS,99.2563097231586,88.6264055349162,22556.5736435144,9.4,97.9449925342343,28.3636390270153,0,0
ECU,98.8258819580078,99.3891695178291,6130.58667556768,15.4,93.0637795,36.602,0,0
EGY,99.3000030517578,100.0,3370.38244716015,23.3,99.10671754,57.215,1,0
EMU,100.0,84.3967411423945,34388.8100100187,3.85977845167865,99.8899212111038,23.6614658289896,0,1
ERI,46.0322418212891,100.0,,46.3,51.46509353,61.794,0,0
ESP,100.0,55.1527248746452,25754.36102944,3.3,99.92672046,20.398,0,0
EST,100.0,0.0,17402.0376128079,3.1,99.75130757,31.584,0,0
ETH,29.0,100.0,630.31268211446,62.4,42.0700672,80.572,1,0
EUU,100.0,85.6082549078722,30484.5278875559,4.25504053492753,99.8273904985654,26.0922276880485,0,1
FCS,50.3174219869653,99.9998283124605,1893.11941681257,86.5315534015956,63.5353401480025,58.1691209608954,1,0
FIN,100.0,0.0,42801.9081167285,2.5,99.99999666,14.775,0,1
